"Year","State","County ID","State / County Name","All Ages SAIPE Poverty Universe","All Ages in Poverty Count","All Ages in Poverty Count LB 90%","All Ages in Poverty Count UB 90%","90% Confidence Interval (All Ages in Poverty Count)","All Ages in Poverty Percent","All Ages in Poverty Percent LB 90%","All Ages in Poverty Percent UB 90%","90% Confidence Interval (All Ages in Poverty Percent)","Under Age 18 SAIPE Poverty Universe","Under Age 18 in Poverty Count","Under Age 18 in Poverty Count LB 90%","Under Age 18 in Poverty Count UB 90%","90% Confidence Interval (Under Age 18 in Poverty Count)","Under Age 18 in Poverty Percent","Under Age 18 in Poverty Percent LB 90%","Under Age 18 in Poverty Percent UB 90%","90% Confidence Interval (Under Age 18 in Poverty Percent)","Ages 5 to 17 in Families SAIPE Poverty Universe","Ages 5 to 17 in Families in Poverty Count","Ages 5 to 17 in Families in Poverty Count LB 90%","Ages 5 to 17 in Families in Poverty Count UB 90%","90% Confidence Interval (Ages 5 to 17 in Families in Poverty Count)","Ages 5 to 17 in Families in Poverty Percent","Ages 5 to 17 in Families in Poverty Percent LB 90%","Ages 5 to 17 in Families in Poverty Percent UB 90%","90% Confidence Interval (Ages 5 to 17 in Families in Poverty Percent)","Under Age 5 SAIPE Poverty Universe","Under Age 5 in Poverty Count","Under Age 5 in Poverty Count LB 90%","Under Age 5 in Poverty Count UB 90%","90% Confidence Interval (Under Age 5 in Poverty Count)","Under Age 5 in Poverty Percent","Under Age 5 in Poverty Percent LB 90%","Under Age 5 in Poverty Percent UB 90%","90% Confidence Interval (Under Age 5 in Poverty Percent)","Median Household Income in Dollars","Median Household Income in Dollars LB 90%","Median Household Income in Dollars UB 90%","90% Confidence Interval (Median Household Income in Dollars)"
"2011","35","35000","New Mexico","2,042,517","427,340","416,881","437,799","416,881 to 437,799","20.9","20.4","21.4","20.4 to 21.4","513,660","150,984","145,435","156,533","145,435 to 156,533","29.4","28.3","30.5","28.3 to 30.5","369,384","100,777","95,994","105,560","95,994 to 105,560","27.3","26.0","28.6","26.0 to 28.6","143,159","48,612","45,588","51,636","45,588 to 51,636","34.0","31.9","36.1","31.9 to 36.1","$42,097","$41,340","$42,854","$41,340 to $42,854"
"2010","35","35000","New Mexico","2,024,711","400,779","389,376","412,182","389,376 to 412,182","19.8","19.2","20.4","19.2 to 20.4","512,149","145,779","139,740","151,818","139,740 to 151,818","28.5","27.3","29.7","27.3 to 29.7","367,326","98,187","92,895","103,479","92,895 to 103,479","26.7","25.3","28.1","25.3 to 28.1","142,191","45,529","42,920","48,138","42,920 to 48,138","32.0","30.2","33.8","30.2 to 33.8","$42,186","$41,505","$42,867","$41,505 to $42,867"
"2009","35","35000","New Mexico","1,968,129","359,030","348,063","369,998","348,063 to 369,998","18.2","17.7","18.8","17.7 to 18.8","502,586","129,552","124,002","135,103","124,002 to 135,103","25.8","24.7","26.9","24.7 to 26.9","350,611","83,598","79,013","88,183","79,013 to 88,183","23.8","22.5","25.2","22.5 to 25.2","149,459","43,951","40,945","46,958","40,945 to 46,958","29.4","27.4","31.4","27.4 to 31.4","$42,830","$41,910","$43,749","$41,910 to $43,749"
"2008","35","35000","New Mexico","1,941,423","329,857","321,518","338,196","321,518 to 338,196","17.0","16.6","17.4","16.6 to 17.4","493,065","118,793","113,851","123,735","113,851 to 123,735","24.1","23.1","25.1","23.1 to 25.1","345,695","76,128","71,769","80,487","71,769 to 80,487","22.0","20.8","23.3","20.8 to 23.3","145,651","40,670","38,259","43,080","38,259 to 43,080","27.9","26.3","29.6","26.3 to 29.6","$43,719","$42,848","$44,590","$42,848 to $44,590"
"2007","35","35000","New Mexico","1,925,456","344,060","335,083","353,036","335,083 to 353,036","17.9","17.4","18.3","17.4 to 18.3","489,596","123,571","118,875","128,268","118,875 to 128,268","25.2","24.3","26.2","24.3 to 26.2","344,510","78,583","74,412","82,754","74,412 to 82,754","22.8","21.6","24.0","21.6 to 24.0","142,042","42,245","40,040","44,450","40,040 to 44,450","29.7","28.2","31.3","28.2 to 31.3","$41,509","$40,869","$42,148","$40,869 to $42,148"
"2006","35","35000","New Mexico","1,912,304","350,120","342,066","358,174","342,066 to 358,174","18.3","17.9","18.7","17.9 to 18.7","498,878","127,618","123,270","131,966","123,270 to 131,966","25.6","24.7","26.5","24.7 to 26.5","357,363","84,367","80,510","88,224","80,510 to 88,224","23.6","22.5","24.7","22.5 to 24.7","139,527","40,718","38,644","42,792","38,644 to 42,792","29.2","27.7","30.7","27.7 to 30.7","$40,610","$39,949","$41,271","$39,949 to $41,271"
"2015","36","36000","New York","19,283,863","2,985,604","2,951,419","3,019,789","2,951,419 to 3,019,789","15.5","15.3","15.7","15.3 to 15.7","4,133,771","921,512","902,232","940,792","902,232 to 940,792","22.3","21.8","22.8","21.8 to 22.8","2,965,146","631,903","615,040","648,766","615,040 to 648,766","21.3","20.7","21.9","20.7 to 21.9","1,153,524","275,702","266,296","285,108","266,296 to 285,108","23.9","23.1","24.7","23.1 to 24.7","$60,805","$60,500","$61,110","$60,500 to $61,110"
"2014","36","36000","New York","19,228,484","3,082,613","3,046,367","3,118,859","3,046,367 to 3,118,859","16.0","15.8","16.2","15.8 to 16.2","4,153,197","949,253","930,163","968,343","930,163 to 968,343","22.9","22.4","23.4","22.4 to 23.4","2,975,223","646,557","631,790","661,324","631,790 to 661,324","21.7","21.2","22.2","21.2 to 22.2","1,157,873","284,767","272,691","296,843","272,691 to 296,843","24.6","23.6","25.6","23.6 to 25.6","$58,771","$58,381","$59,161","$58,381 to $59,161"
"2013","36","36000","New York","19,133,973","3,068,230","3,034,387","3,102,073","3,034,387 to 3,102,073","16.0","15.8","16.2","15.8 to 16.2","4,167,553","956,127","939,500","972,754","939,500 to 972,754","22.9","22.5","23.3","22.5 to 23.3","3,004,958","666,555","651,942","681,168","651,942 to 681,168","22.2","21.7","22.7","21.7 to 22.7","1,145,629","274,044","266,500","281,588","266,500 to 281,588","23.9","23.2","24.6","23.2 to 24.6","$57,255","$56,828","$57,682","$56,828 to $57,682"
"2012","36","36000","New York","19,064,060","3,040,207","3,009,308","3,071,106","3,009,308 to 3,071,106","15.9","15.7","16.1","15.7 to 16.1","4,200,651","968,025","951,475","984,575","951,475 to 984,575","23.0","22.6","23.4","22.6 to 23.4","3,040,649","658,627","644,269","672,985","644,269 to 672,985","21.7","21.2","22.2","21.2 to 22.2","1,145,002","295,328","287,185","303,471","287,185 to 303,471","25.8","25.1","26.5","25.1 to 26.5","$56,357","$55,989","$56,725","$55,989 to $56,725"
"2011","36","36000","New York","18,953,964","3,043,461","3,011,369","3,075,553","3,011,369 to 3,075,553","16.1","15.9","16.3","15.9 to 16.3","4,219,908","960,956","943,495","978,417","943,495 to 978,417","22.8","22.4","23.2","22.4 to 23.2","3,064,631","658,371","643,729","673,013","643,729 to 673,013","21.5","21.0","22.0","21.0 to 22.0","1,137,661","286,025","276,658","295,392","276,658 to 295,392","25.1","24.3","25.9","24.3 to 25.9","$55,147","$54,754","$55,540","$54,754 to $55,540"
"2010","36","36000","New York","18,879,724","2,840,564","2,806,009","2,875,119","2,806,009 to 2,875,119","15.0","14.8","15.2","14.8 to 15.2","4,250,253","912,004","893,606","930,402","893,606 to 930,402","21.5","21.1","21.9","21.1 to 21.9","3,102,874","621,649","605,530","637,768","605,530 to 637,768","20.0","19.5","20.5","19.5 to 20.5","1,131,352","275,636","266,722","284,550","266,722 to 284,550","24.4","23.6","25.2","23.6 to 25.2","$54,047","$53,677","$54,417","$53,677 to $54,417"
"2009","36","36000","New York","19,014,189","2,708,119","2,674,503","2,741,735","2,674,503 to 2,741,735","14.2","14.1","14.4","14.1 to 14.4","4,354,425","878,114","860,048","896,180","860,048 to 896,180","20.2","19.8","20.6","19.8 to 20.6","3,138,545","590,889","575,090","606,688","575,090 to 606,688","18.8","18.3","19.3","18.3 to 19.3","1,198,533","272,021","263,055","280,987","263,055 to 280,987","22.7","21.9","23.4","21.9 to 23.4","$54,554","$54,164","$54,945","$54,164 to $54,945"
"2008","36","36000","New York","18,964,468","2,595,816","2,564,837","2,626,795","2,564,837 to 2,626,795","13.7","13.5","13.9","13.5 to 13.9","4,342,305","837,435","821,102","853,768","821,102 to 853,768","19.3","18.9","19.7","18.9 to 19.7","3,144,252","576,856","563,424","590,288","563,424 to 590,288","18.3","17.9","18.8","17.9 to 18.8","1,181,062","245,206","236,112","254,301","236,112 to 254,301","20.8","20.0","21.5","20.0 to 21.5","$55,980","$55,603","$56,356","$55,603 to $56,356"
"2007","36","36000","New York","18,775,321","2,584,756","2,554,092","2,615,420","2,554,092 to 2,615,420","13.8","13.6","13.9","13.6 to 13.9","4,348,793","852,172","834,709","869,635","834,709 to 869,635","19.6","19.2","20.0","19.2 to 20.0","3,147,813","576,131","561,052","591,210","561,052 to 591,210","18.3","17.8","18.8","17.8 to 18.8","1,178,252","256,117","246,960","265,275","246,960 to 265,275","21.7","21.0","22.5","21.0 to 22.5","$53,448","$53,103","$53,792","$53,103 to $53,792"
"2006","36","36000","New York","18,770,144","2,670,773","2,642,290","2,699,255","2,642,290 to 2,699,255","14.2","14.1","14.4","14.1 to 14.4","4,434,945","892,463","875,214","909,712","875,214 to 909,712","20.1","19.7","20.5","19.7 to 20.5","3,214,314","610,054","595,231","624,877","595,231 to 624,877","19.0","18.5","19.4","18.5 to 19.4","1,198,168","262,323","253,036","271,610","253,036 to 271,610","21.9","21.1","22.7","21.1 to 22.7","$51,340","$51,088","$51,593","$51,088 to $51,593"
"2015","37","37000","North Carolina","9,790,028","1,607,249","1,584,462","1,630,036","1,584,462 to 1,630,036","16.4","16.2","16.6","16.2 to 16.6","2,257,621","528,760","516,088","541,432","516,088 to 541,432","23.4","22.8","24.0","22.8 to 24.0","1,654,124","362,586","351,428","373,744","351,428 to 373,744","21.9","21.2","22.6","21.2 to 22.6","592,918","156,403","150,247","162,559","150,247 to 162,559","26.4","25.4","27.4","25.4 to 27.4","$47,884","$47,370","$48,398","$47,370 to $48,398"
"2014","37","37000","North Carolina","9,691,813","1,663,954","1,640,565","1,687,343","1,640,565 to 1,687,343","17.2","17.0","17.4","17.0 to 17.4","2,256,859","544,149","530,093","558,205","530,093 to 558,205","24.1","23.5","24.7","23.5 to 24.7","1,650,774","373,438","361,052","385,824","361,052 to 385,824","22.6","21.8","23.4","21.8 to 23.4","595,844","161,245","154,616","167,874","154,616 to 167,874","27.1","26.0","28.2","26.0 to 28.2","$46,596","$46,219","$46,973","$46,219 to $46,973"
"2013","37","37000","North Carolina","9,588,243","1,711,331","1,687,683","1,734,979","1,687,683 to 1,734,979","17.8","17.6","18.0","17.6 to 18.0","2,247,397","563,572","549,182","577,962","549,182 to 577,962","25.1","24.5","25.7","24.5 to 25.7","1,639,310","386,419","373,418","399,420","373,418 to 399,420","23.6","22.8","24.4","22.8 to 24.4","596,923","166,834","160,770","172,898","160,770 to 172,898","27.9","26.9","28.9","26.9 to 28.9","$45,946","$45,527","$46,365","$45,527 to $46,365"
"2012","37","37000","North Carolina","9,498,969","1,706,255","1,681,208","1,731,302","1,681,208 to 1,731,302","18.0","17.7","18.3","17.7 to 18.3","2,255,333","581,594","569,022","594,166","569,022 to 594,166","25.8","25.2","26.4","25.2 to 26.4","1,638,257","392,122","380,636","403,608","380,636 to 403,608","23.9","23.2","24.6","23.2 to 24.6","608,890","181,415","176,187","186,643","176,187 to 186,643","29.8","28.9","30.7","28.9 to 30.7","$45,195","$44,809","$45,581","$44,809 to $45,581"
"2011","37","37000","North Carolina","9,406,123","1,673,627","1,648,911","1,698,343","1,648,911 to 1,698,343","17.8","17.5","18.1","17.5 to 18.1","2,261,567","573,679","558,649","588,709","558,649 to 588,709","25.4","24.7","26.1","24.7 to 26.1","1,633,048","380,911","367,897","393,925","367,897 to 393,925","23.3","22.5","24.1","22.5 to 24.1","620,521","184,915","177,184","192,646","177,184 to 192,646","29.8","28.6","31.0","28.6 to 31.0","$44,028","$43,522","$44,534","$43,522 to $44,534"
"2010","37","37000","North Carolina","9,304,575","1,618,597","1,596,260","1,640,934","1,596,260 to 1,640,934","17.4","17.2","17.6","17.2 to 17.6","2,249,819","554,191","540,569","567,813","540,569 to 567,813","24.6","24.0","25.2","24.0 to 25.2","1,616,588","366,148","354,108","378,188","354,108 to 378,188","22.6","21.9","23.3","21.9 to 23.3","623,543","178,823","172,350","185,296","172,350 to 185,296","28.7","27.7","29.7","27.7 to 29.7","$43,417","$43,053","$43,781","$43,053 to $43,781"
"2009","37","37000","North Carolina","9,095,863","1,475,063","1,453,163","1,496,963","1,453,163 to 1,496,963","16.2","16.0","16.5","16.0 to 16.5","2,242,738","503,713","490,811","516,615","490,811 to 516,615","22.5","21.9","23.0","21.9 to 23.0","1,580,766","321,503","310,244","332,762","310,244 to 332,762","20.3","19.6","21.1","19.6 to 21.1","650,351","172,447","165,988","178,906","165,988 to 178,906","26.5","25.5","27.5","25.5 to 27.5","$43,754","$43,385","$44,124","$43,385 to $44,124"
"2008","37","37000","North Carolina","8,947,509","1,301,882","1,279,051","1,324,712","1,279,051 to 1,324,712","14.6","14.3","14.8","14.3 to 14.8","2,212,707","440,281","426,995","453,567","426,995 to 453,567","19.9","19.3","20.5","19.3 to 20.5","1,558,480","282,961","271,412","294,510","271,412 to 294,510","18.2","17.4","18.9","17.4 to 18.9","642,257","147,112","140,644","153,581","140,644 to 153,581","22.9","21.9","23.9","21.9 to 23.9","$46,574","$46,156","$46,992","$46,156 to $46,992"
"2007","37","37000","North Carolina","8,793,210","1,256,867","1,236,383","1,277,350","1,236,383 to 1,277,350","14.3","14.1","14.5","14.1 to 14.5","2,186,320","427,221","415,585","438,857","415,585 to 438,857","19.5","19.0","20.1","19.0 to 20.1","1,545,902","275,164","265,262","285,066","265,262 to 285,066","17.8","17.2","18.4","17.2 to 18.4","627,176","141,506","135,216","147,795","135,216 to 147,795","22.6","21.6","23.6","21.6 to 23.6","$44,772","$44,349","$45,194","$44,349 to $45,194"
"2006","37","37000","North Carolina","8,591,270","1,256,624","1,236,931","1,276,316","1,236,931 to 1,276,316","14.6","14.4","14.9","14.4 to 14.9","2,123,375","426,469","414,382","438,555","414,382 to 438,555","20.1","19.5","20.7","19.5 to 20.7","1,507,978","275,274","264,915","285,633","264,915 to 285,633","18.3","17.6","18.9","17.6 to 18.9","601,913","140,125","134,132","146,119","134,132 to 146,119","23.3","22.3","24.3","22.3 to 24.3","$42,721","$42,294","$43,148","$42,294 to $43,148"
"2015","38","38000","North Dakota","731,319","78,613","74,610","82,616","74,610 to 82,616","10.7","10.2","11.2","10.2 to 11.2","170,998","20,716","19,014","22,418","19,014 to 22,418","12.1","11.1","13.1","11.1 to 13.1","117,822","12,410","11,027","13,793","11,027 to 13,793","10.5","9.3","11.7","9.3 to 11.7","51,964","7,437","6,507","8,367","6,507 to 8,367","14.3","12.5","16.1","12.5 to 16.1","$61,674","$60,168","$63,180","$60,168 to $63,180"
"2014","38","38000","North Dakota","712,526","79,203","75,164","83,242","75,164 to 83,242","11.1","10.5","11.7","10.5 to 11.7","164,329","22,572","20,816","24,328","20,816 to 24,328","13.7","12.6","14.8","12.6 to 14.8","113,643","14,011","12,593","15,429","12,593 to 15,429","12.3","11.1","13.5","11.1 to 13.5","49,593","7,779","6,781","8,777","6,781 to 8,777","15.7","13.7","17.7","13.7 to 17.7","$60,227","$58,786","$61,668","$58,786 to $61,668"
"2013","38","38000","North Dakota","698,176","81,055","77,449","84,661","77,449 to 84,661","11.6","11.1","12.1","11.1 to 12.1","160,537","19,962","18,272","21,652","18,272 to 21,652","12.4","11.3","13.5","11.3 to 13.5","112,290","12,685","11,411","13,959","11,411 to 13,959","11.3","10.2","12.4","10.2 to 12.4","47,767","6,754","5,689","7,819","5,689 to 7,819","14.1","11.9","16.3","11.9 to 16.3","$56,800","$55,497","$58,103","$55,497 to $58,103"
"2012","38","38000","North Dakota","674,845","75,251","72,056","78,446","72,056 to 78,446","11.2","10.7","11.7","10.7 to 11.7","151,313","20,684","19,312","22,056","19,312 to 22,056","13.7","12.8","14.6","12.8 to 14.6","105,583","12,555","11,414","13,696","11,414 to 13,696","11.9","10.8","13.0","10.8 to 13.0","45,104","7,563","6,805","8,321","6,805 to 8,321","16.8","15.1","18.5","15.1 to 18.5","$54,579","$53,273","$55,885","$53,273 to $55,885"
"2011","38","38000","North Dakota","660,484","79,124","75,674","82,574","75,674 to 82,574","12.0","11.5","12.5","11.5 to 12.5","148,819","22,034","20,407","23,661","20,407 to 23,661","14.8","13.7","15.9","13.7 to 15.9","103,626","12,766","11,528","14,004","11,528 to 14,004","12.3","11.1","13.5","11.1 to 13.5","44,076","8,386","7,354","9,418","7,354 to 9,418","19.0","16.7","21.3","16.7 to 21.3","$52,135","$51,032","$53,238","$51,032 to $53,238"
"2010","38","38000","North Dakota","651,420","81,176","77,653","84,699","77,653 to 84,699","12.5","12.0","13.0","12.0 to 13.0","148,213","23,330","21,613","25,047","21,613 to 25,047","15.7","14.5","16.9","14.5 to 16.9","103,296","14,149","12,660","15,638","12,660 to 15,638","13.7","12.3","15.1","12.3 to 15.1","44,158","8,507","7,645","9,369","7,645 to 9,369","19.3","17.3","21.3","17.3 to 21.3","$48,878","$47,689","$50,067","$47,689 to $50,067"
"2009","38","38000","North Dakota","620,797","72,911","69,510","76,312","69,510 to 76,312","11.7","11.2","12.3","11.2 to 12.3","141,889","20,022","18,467","21,576","18,467 to 21,576","14.1","13.0","15.2","13.0 to 15.2","98,493","11,733","10,457","13,009","10,457 to 13,009","11.9","10.6","13.2","10.6 to 13.2","42,688","7,679","6,821","8,537","6,821 to 8,537","18.0","16.0","20.0","16.0 to 20.0","$47,898","$47,011","$48,785","$47,011 to $48,785"
"2008","38","38000","North Dakota","615,392","70,654","67,452","73,855","67,452 to 73,855","11.5","11.0","12.0","11.0 to 12.0","141,001","20,023","18,479","21,568","18,479 to 21,568","14.2","13.1","15.3","13.1 to 15.3","98,654","11,754","10,354","13,154","10,354 to 13,154","11.9","10.5","13.3","10.5 to 13.3","41,183","7,483","6,752","8,213","6,752 to 8,213","18.2","16.4","19.9","16.4 to 19.9","$45,996","$45,071","$46,921","$45,071 to $46,921"
"2007","38","38000","North Dakota","612,570","72,242","69,158","75,326","69,158 to 75,326","11.8","11.3","12.3","11.3 to 12.3","140,492","19,683","18,282","21,083","18,282 to 21,083","14.0","13.0","15.0","13.0 to 15.0","100,046","11,671","10,440","12,902","10,440 to 12,902","11.7","10.4","12.9","10.4 to 12.9","39,511","7,148","6,501","7,794","6,501 to 7,794","18.1","16.5","19.7","16.5 to 19.7","$43,936","$42,915","$44,958","$42,915 to $44,958"
"2006","38","38000","North Dakota","605,871","71,059","68,259","73,860","68,259 to 73,860","11.7","11.3","12.2","11.3 to 12.2","141,025","19,809","18,493","21,126","18,493 to 21,126","14.0","13.1","15.0","13.1 to 15.0","101,319","12,125","10,950","13,300","10,950 to 13,300","12.0","10.8","13.1","10.8 to 13.1","38,826","6,808","6,174","7,442","6,174 to 7,442","17.5","15.9","19.2","15.9 to 19.2","$41,852","$40,987","$42,716","$40,987 to $42,716"
"2015","39","39000","Ohio","11,295,380","1,670,487","1,646,455","1,694,519","1,646,455 to 1,694,519","14.8","14.6","15.0","14.6 to 15.0","2,583,951","546,968","532,624","561,312","532,624 to 561,312","21.2","20.6","21.8","20.6 to 21.8","1,893,365","365,471","352,710","378,232","352,710 to 378,232","19.3","18.6","20.0","18.6 to 20.0","678,544","170,403","163,810","176,996","163,810 to 176,996","25.1","24.1","26.1","24.1 to 26.1","$51,086","$50,853","$51,319","$50,853 to $51,319"
"2014","39","39000","Ohio","11,276,366","1,778,288","1,755,728","1,800,848","1,755,728 to 1,800,848","15.8","15.6","16.0","15.6 to 16.0","2,593,237","588,618","574,885","602,351","574,885 to 602,351","22.7","22.2","23.2","22.2 to 23.2","1,905,146","395,792","383,745","407,839","383,745 to 407,839","20.8","20.2","21.4","20.2 to 21.4","674,567","180,249","174,013","186,485","174,013 to 186,485","26.7","25.8","27.6","25.8 to 27.6","$49,349","$48,991","$49,707","$48,991 to $49,707"
"2013","39","39000","Ohio","11,248,737","1,793,523","1,767,288","1,819,758","1,767,288 to 1,819,758","15.9","15.7","16.1","15.7 to 16.1","2,602,025","589,871","573,913","605,829","573,913 to 605,829","22.7","22.1","23.3","22.1 to 23.3","1,913,341","398,690","384,850","412,530","384,850 to 412,530","20.8","20.1","21.5","20.1 to 21.5","675,591","179,739","171,962","187,516","171,962 to 187,516","26.6","25.4","27.8","25.4 to 27.8","$48,138","$47,736","$48,540","$47,736 to $48,540"
"2012","39","39000","Ohio","11,227,437","1,818,886","1,797,356","1,840,416","1,797,356 to 1,840,416","16.2","16.0","16.4","16.0 to 16.4","2,615,367","617,006","603,764","630,248","603,764 to 630,248","23.6","23.1","24.1","23.1 to 24.1","1,922,165","411,818","400,008","423,628","400,008 to 423,628","21.4","20.8","22.0","20.8 to 22.0","679,930","192,591","186,623","198,559","186,623 to 198,559","28.3","27.4","29.2","27.4 to 29.2","$46,873","$46,582","$47,164","$46,582 to $47,164"
"2011","39","39000","Ohio","11,234,064","1,836,098","1,811,265","1,860,931","1,811,265 to 1,860,931","16.3","16.1","16.5","16.1 to 16.5","2,649,293","634,234","618,946","649,522","618,946 to 649,522","23.9","23.3","24.5","23.3 to 24.5","1,937,723","417,165","404,352","429,978","404,352 to 429,978","21.5","20.8","22.2","20.8 to 22.2","698,073","205,132","197,444","212,820","197,444 to 212,820","29.4","28.3","30.5","28.3 to 30.5","$45,803","$45,487","$46,119","$45,487 to $46,119"
"2010","39","39000","Ohio","11,224,913","1,771,404","1,746,640","1,796,168","1,746,640 to 1,796,168","15.8","15.6","16.0","15.6 to 16.0","2,678,989","619,354","604,905","633,803","604,905 to 633,803","23.1","22.6","23.6","22.6 to 23.6","1,960,986","407,567","394,584","420,550","394,584 to 420,550","20.8","20.1","21.5","20.1 to 21.5","705,656","199,674","192,989","206,359","192,989 to 206,359","28.3","27.4","29.2","27.4 to 29.2","$45,151","$44,860","$45,442","$44,860 to $45,442"
