"State","YEAR","Zip3","AvgIncome"
"CO",2014,"803xx",181258
"CO",2014,"804xx",136805
"CO",2014,"805xx",172933
"CO",2014,"806xx",140786
"CO",2014,"807xx",33888
"CO",2014,"808xx",63974
"CO",2014,"809xx",131867
"CO",2014,"810xx",65595
"CO",2014,"811xx",27639
"CO",2014,"812xx",41483
"CO",2014,"813xx",81347
"CO",2014,"814xx",38755
"CO",2014,"815xx",66656
"CO",2014,"816xx",49291
"CO",2015,"800xx",215078
"CO",2015,"801xx",268810
"CO",2015,"802xx",162172
"CO",2015,"803xx",181258
"CO",2015,"804xx",136805
"CO",2015,"805xx",172933
"CO",2015,"806xx",140786
"CO",2015,"807xx",33888
"CO",2015,"808xx",63974
"CO",2015,"809xx",131867
"CO",2015,"810xx",65595
"CO",2015,"811xx",27639
"CO",2015,"812xx",41483
"CO",2015,"813xx",81347
"CO",2015,"814xx",38755
"CO",2015,"815xx",66656
"CO",2015,"816xx",49291
"CO",2016,"800xx",215078
"CO",2016,"801xx",268810
"CO",2016,"802xx",162172
"CO",2016,"803xx",181258
"CO",2016,"804xx",136805
"CO",2016,"805xx",172933
"CO",2016,"806xx",140786
"CO",2016,"807xx",33888
"CO",2016,"808xx",63974
"CO",2016,"809xx",131867
"CO",2016,"810xx",65595
"CO",2016,"811xx",27639
"CO",2016,"812xx",41483
"CO",2016,"813xx",81347
"CO",2016,"814xx",38755
"CO",2016,"815xx",66656
"CO",2016,"816xx",49291
"CT",2011,"060xx",129573
"CT",2011,"061xx",114410
"CT",2011,"062xx",33928
"CT",2011,"063xx",73839
"CT",2011,"064xx",134158
"CT",2011,"065xx",130392
"CT",2011,"066xx",135741
"CT",2011,"067xx",81839
"CT",2011,"068xx",513071
"CT",2011,"069xx",238570
"CT",2012,"060xx",133940
"CT",2012,"061xx",119016
"CT",2012,"062xx",34333
"CT",2012,"063xx",74305
"CT",2012,"064xx",139283
"CT",2012,"065xx",128732
"CT",2012,"066xx",138870
"CT",2012,"067xx",82571
"CT",2012,"068xx",585537
"CT",2012,"069xx",370258
"CT",2013,"060xx",136868
"CT",2013,"061xx",121319
"CT",2013,"062xx",35278
"CT",2013,"063xx",75180
"CT",2013,"064xx",141948
"CT",2013,"065xx",129903
"CT",2013,"066xx",141101
"CT",2013,"067xx",83614
"CT",2013,"068xx",568559
"CT",2013,"069xx",256250
"CT",2014,"060xx",143708
"CT",2014,"061xx",126314
"CT",2014,"062xx",36158
"CT",2014,"063xx",77892
"CT",2014,"064xx",148871
"CT",2014,"065xx",133833
"CT",2014,"066xx",146234
"CT",2014,"067xx",85615
"CT",2014,"068xx",630930
"CT",2014,"069xx",275500
"CT",2015,"060xx",143708
"CT",2015,"061xx",126314
"CT",2015,"062xx",36158
"CT",2015,"063xx",77892
"CT",2015,"064xx",148871
"CT",2015,"065xx",133833
"CT",2015,"066xx",146234
"CT",2015,"067xx",85615
"CT",2015,"068xx",630930
"CT",2015,"069xx",275500
"CT",2016,"060xx",143708
"CT",2016,"061xx",126314
"CT",2016,"062xx",36158
"CT",2016,"063xx",77892
"CT",2016,"064xx",148871
"CT",2016,"065xx",133833
"CT",2016,"066xx",146234
"CT",2016,"067xx",85615
"CT",2016,"068xx",630930
"CT",2016,"069xx",275500
"DC",2011,"200xx",243901
"DC",2012,"200xx",266226
"DC",2013,"200xx",268194
"DC",2014,"200xx",295375
"DC",2015,"200xx",295375
"DC",2016,"200xx",295375
"DE",2011,"197xx",179261
"DE",2011,"198xx",133932
"DE",2011,"199xx",63961
"DE",2012,"197xx",191868
"DE",2012,"198xx",141072
"DE",2012,"199xx",65955
"DE",2013,"197xx",196774
"DE",2013,"198xx",139471
"DE",2013,"199xx",68488
"DE",2014,"197xx",205555
"DE",2014,"198xx",147216
"DE",2014,"199xx",70774
"DE",2015,"197xx",205555
"DE",2015,"198xx",147216
"DE",2015,"199xx",70774
"DE",2016,"197xx",205555
"DE",2016,"198xx",147216
"DE",2016,"199xx",70774
"FL",2011,"320xx",114843
"FL",2011,"321xx",109148
"FL",2011,"322xx",150248
"FL",2011,"323xx",102764
"FL",2011,"324xx",56069
"FL",2011,"325xx",96058
"FL",2011,"326xx",67212
"FL",2011,"327xx",129685
"FL",2011,"328xx",149234
"FL",2011,"329xx",108653
"FL",2011,"330xx",187179
"FL",2011,"331xx",191077
"FL",2011,"333xx",176665
"FL",2011,"334xx",159419
"FL",2011,"335xx",97610
"FL",2011,"336xx",165272
"FL",2011,"337xx",89946
"FL",2011,"338xx",83784
"FL",2011,"339xx",84833
"FL",2011,"341xx",154658
"FL",2011,"342xx",96396
"FL",2011,"344xx",55930
"FL",2011,"346xx",95632
"FL",2011,"347xx",128111
"FL",2011,"349xx",111406
"FL",2012,"320xx",125680
"FL",2012,"321xx",113818
"FL",2012,"322xx",150966
"FL",2012,"323xx",97318
"FL",2012,"324xx",57121
"FL",2012,"325xx",97098
"FL",2012,"326xx",66206
"FL",2012,"327xx",132943
"FL",2012,"328xx",145640
"FL",2012,"329xx",117736
"FL",2012,"330xx",174838
"FL",2012,"331xx",182577
"FL",2012,"333xx",169043
"FL",2012,"334xx",186201
"FL",2012,"335xx",95554
"FL",2012,"336xx",149228
"FL",2012,"337xx",87417
"FL",2012,"338xx",80040
"FL",2012,"339xx",88218
"FL",2012,"341xx",200657
"FL",2012,"342xx",100766
"FL",2012,"344xx",53897
"FL",2012,"346xx",96177
"FL",2012,"347xx",136362
"FL",2012,"349xx",114368
"FL",2013,"320xx",128548
"FL",2013,"321xx",116924
"FL",2013,"322xx",156050
"FL",2013,"323xx",98455
"FL",2013,"324xx",59097
"FL",2013,"325xx",99239
"FL",2013,"326xx",67533
"FL",2013,"327xx",137110
"FL",2013,"328xx",148135
"FL",2013,"329xx",118080
"FL",2013,"330xx",176411
"FL",2013,"331xx",178867
"FL",2013,"333xx",168931
"FL",2013,"334xx",182847
"FL",2013,"335xx",98467
"FL",2013,"336xx",148427
"FL",2013,"337xx",87548
"FL",2013,"338xx",81521
"FL",2013,"339xx",90942
"FL",2013,"341xx",188003
"FL",2013,"342xx",102189
"FL",2013,"344xx",54671
"FL",2013,"346xx",98651
"FL",2013,"347xx",137555
"FL",2013,"349xx",117888
"FL",2014,"320xx",139975
"FL",2014,"321xx",122198
"FL",2014,"322xx",162546
"FL",2014,"323xx",104310
"FL",2014,"324xx",61868
"FL",2014,"325xx",103366
