"","addr_state","grade","year(issue_d)","sum(loan_amnt)","sum(total_pymnt)","mean(int_rate)","mean(UNEMP_RATE_ISSUE_DT)","mean(AGE)","mean(fico_range_low)"
"586","HI","F",2013,13975,10709.074384,23.8433333333333,4.83333333333333,518,681.666666666667
"587","HI","F",2014,58575,66903.1700208571,24.0114285714286,4.45714285714286,603.857142857143,669.285714285714
"588","HI","F",2015,114125,106579.671876116,23.4909090909091,3.47272727272727,381.545454545455,678.636363636364
"589","HI","G",2014,24800,20133.3925,25.815,4.2,213.5,680
"590","HI","G",2015,14100,6738.05,26.33,3.55,244.5,680
"591","IA","A",2008,1850,2053.0464292628,7.12,3.7,974,770
"592","IA","A",2010,9600,10709.3165586696,7.14,6,1127,760
"593","IA","B",2008,38000,43538.1357049517,9.635,3.7,943,755
"594","IA","C",2008,7000,8181.31141614489,11.34,3.8,791,685
"595","IA","C",2013,7200,5688.44,15.61,4.5,608,685
"596","IA","C",2014,6725,8415.77,15.61,4.4,915,665
"597","ID","A",2013,6000,6574.052163,6.03,6.1,1096,780
"598","ID","A",2014,7000,8001.7711119085,8.9,5.1,1096,740
"599","ID","B",2008,34600,40043.3179898035,10.08,4.7,912.5,745
"600","ID","C",2008,16150,17536.1467603243,11.345,3,623.5,682.5
"601","ID","C",2013,3000,3708.469052,14.33,6.1,1096,760
"602","ID","D",2008,9000,7751.6188811354,13.11,3,441.5,680
"603","IL","A",2007,8000,8110.5965452666,8.07,5.5,122,765
"604","IL","A",2008,66700,72639.3164804246,8.234,6.36,876.4,756
"605","IL","A",2009,314425,342687.340174668,8.68391304347826,10.7173913043478,753.391304347826,752.282608695652
"606","IL","A",2010,817075,825837.689251161,7.02836956521739,10.0358695652174,831.913043478261,755.054347826087
"607","IL","A",2011,1818550,1941161.64397543,7.12945544554455,9.67970297029703,846.871287128713,750.693069306931
"608","IL","A",2012,5404350,5829314.054379,7.59563636363636,8.95795454545455,NA,744.988636363636
"609","IL","A",2013,10075125,10912825.94699,7.75777108433735,8.86746987951807,828.161144578313,726.875
"610","IL","A",2014,23302925,23668654.3661728,7.4232702020202,6.89981060606061,750.672348484848,721.284722222222
"611","IL","A",2015,44216450,31285614.9844798,6.89263620981387,5.94192893401015,550.66937394247,719.24027072758
"612","IL","B",2007,12000,12347.2198783447,9.01,5.5,152,720
"613","IL","B",2008,164075,172593.718382335,10.5072727272727,6.64090909090909,880.772727272727,720.681818181818
"614","IL","B",2009,709550,783935.678789259,11.8109375,10.7796875,797.03125,723.671875
"615","IL","B",2010,1234275,1327747.02458846,10.6342452830189,10.3433962264151,827.660377358491,722.311320754717
"616","IL","B",2011,1994550,2152429.22583085,10.9975124378109,9.65174129353234,842.477611940299,708.208955223881
"617","IL","B",2012,6821650,7608411.550686,12.1408455284553,8.9590243902439,833.840650406504,698.943089430894
"618","IL","B",2013,21605075,24171095.048855,11.7586499694563,8.90482590103849,801.374465485644,695.952962736714
"619","IL","B",2014,29401150,30873843.4712204,11.1566785237884,6.98150289017341,733.913294797688,692.487772343264
"620","IL","B",2015,50619925,36738815.8156591,10.0163503649635,5.94330031282586,NA,689.687174139729
"621","IL","C",2008,184350,179812.513036206,11.8911764705882,6.45294117647059,753.411764705882,692.058823529412
"622","IL","C",2009,456050,509004.285024014,13.3690697674419,10.4604651162791,835.093023255814,694.651162790698
"623","IL","C",2010,798275,931110.421113963,13.5759722222222,10.2541666666667,NA,690.555555555556
"624","IL","C",2011,834950,957232.050228028,14.0115384615385,9.62596153846154,801.355769230769,683.894230769231
"625","IL","C",2012,4500750,5133051.891976,15.3393472584856,8.96736292428198,799.929503916449,681.044386422976
"626","IL","C",2013,12296900,14072998.623735,15.38625,8.9073093220339,762.647245762712,683.368644067797
"627","IL","C",2014,21757125,22906587.8153464,14.0626936218679,6.95643507972665,696.989749430524,682.135535307517
"628","IL","C",2015,39149325,29271563.4831078,13.2047056962025,5.93550632911392,509.707594936709,682.740506329114
"629","IL","D",2008,57475,62805.1878728228,13.4142857142857,6.42857142857143,1073.42857142857,663.571428571429
"630","IL","D",2009,262975,290633.4058188,14.9785,10.585,948.2,678
"631","IL","D",2010,478900,582464.825183387,15.1969230769231,10.4487179487179,920.230769230769,677.820512820513
"632","IL","D",2011,476775,559160.396766589,16.086170212766,9.6468085106383,NA,672.340425531915
"633","IL","D",2012,2879925,3334392.656065,18.2358854166667,8.9703125,778.5625,673.255208333333
"634","IL","D",2013,5953500,6764509.885151,18.7020183486239,8.9354128440367,NA,679.284403669725
"635","IL","D",2014,9316775,9934181.79790154,17.0909685863874,6.95876963350785,NA,677.866492146597
"636","IL","D",2015,16275125,12444378.0616394,16.6326100880705,5.9320256204964,490.831865492394,679.079263410729
"637","IL","E",2008,22000,16344.6065180932,15.3533333333333,7.2,425.333333333333,661.666666666667
"638","IL","E",2009,94000,97286.1187385188,16.3416666666667,10.2833333333333,740.333333333333,668.333333333333
"639","IL","E",2010,123950,139121.432534285,16.8763636363636,10.1363636363636,760.909090909091,669.545454545455
"640","IL","E",2011,148750,174831.965964851,18.445,9.69,822.6,670
"641","IL","E",2012,841425,1023975.99755,20.8885294117647,8.97647058823529,868.705882352941,670.588235294118
"642","IL","E",2013,1124125,1337197.004363,21.3653719008264,8.86611570247934,NA,676.074380165289
"643","IL","E",2014,3058400,3206101.64584873,20.4048571428571,6.94535714285714,676.882142857143,676.803571428571
"644","IL","E",2015,4824400,3845333.44221814,19.082094972067,5.92653631284916,476.966480446927,679.259776536313
"645","IL","F",2008,20000,5420.38,16.08,5.9,426,660
"646","IL","F",2009,18000,18512.5373765063,17.26,9.6,61,660
"647","IL","F",2011,38400,32574.8092354676,19.2866666666667,9.63333333333333,680.333333333333,665
"648","IL","F",2012,97000,117477.48956,22.04,8.93333333333333,426.666666666667,660
"649","IL","F",2013,293025,343277.09656,24.0286363636364,8.69090909090909,NA,678.636363636364
"650","IL","F",2014,602425,645871.2814785,24.2032307692308,6.93846153846154,681.938461538462,676.461538461538
"651","IL","F",2015,476800,338458.746261398,23.3409302325581,5.93255813953488,499.837209302326,673.837209302326
"652","IL","G",2009,22000,29784.1674640522,20.86,11.1,1096,670
"653","IL","G",2010,20500,15425.6,20.9,11.1,607,660
